epoch ,time       ,train/box_loss ,train/cls_loss ,train/dfl_loss ,metrics/precision(B) ,metrics/recall(B) ,metrics/mAP50(B) ,metrics/mAP50-95(B) ,val/box_loss ,val/cls_loss ,val/dfl_loss ,lr/pg0      ,lr/pg1      ,lr/pg2
   89 , 54833.2   ,       1.05222 ,       0.88647 ,       0.92507 ,             0.76633 ,          0.67437 ,         0.73694 ,            0.48292 ,     1.17318 ,     1.11158 ,     0.9447  ,0.000220499 ,0.000220499 ,0.000220499
   90 , 55579.8   ,       1.05965 ,       0.88812 ,       0.93756 ,             0.75321 ,          0.65928 ,         0.73042 ,            0.47604 ,     1.18362 ,     1.10496 ,     0.95018 ,0.000217028 ,0.000217028 ,0.000217028
   91 , 56344.2   ,       1.03249 ,       0.86083 ,       0.91951 ,             0.75289 ,          0.65787 ,         0.73673 ,            0.48229 ,     1.177   ,     1.08532 ,     0.94778 ,0.000213556 ,0.000213556 ,0.000213556
   92 , 57066.8   ,       1.04657 ,       0.85596 ,       0.92129 ,             0.7044  ,          0.69937 ,         0.74006 ,            0.48137 ,     1.16256 ,     1.07954 ,     0.94849 ,0.000210084 ,0.000210084 ,0.000210084
   93 , 57840.7   ,       1.05037 ,       0.85716 ,       0.93352 ,             0.76598 ,          0.66418 ,         0.73524 ,            0.48301 ,     1.15346 ,     1.08926 ,     0.94086 ,0.000206613 ,0.000206613 ,0.000206613
   94 , 58528     ,       1.04265 ,       0.86061 ,       0.93206 ,             0.72998 ,          0.70827 ,         0.74417 ,            0.47659 ,     1.16686 ,     1.08109 ,     0.93713 ,0.000203141 ,0.000203141 ,0.000203141
   95 , 59242.4   ,       1.04577 ,       0.86023 ,       0.92613 ,             0.72322 ,          0.70703 ,         0.73886 ,            0.47741 ,     1.18948 ,     1.07655 ,     0.94619 ,0.00019967  ,0.00019967  ,0.00019967
   96 , 59927.8   ,       1.01473 ,       0.84261 ,       0.92087 ,             0.70925 ,          0.71796 ,         0.74482 ,            0.48921 ,     1.16579 ,     1.05901 ,     0.95164 ,0.000196198 ,0.000196198 ,0.000196198
   97 , 60746     ,       1.02253 ,       0.84466 ,       0.93058 ,             0.70654 ,          0.70499 ,         0.74442 ,            0.48775 ,     1.16771 ,     1.06538 ,     0.94233 ,0.000192726 ,0.000192726 ,0.000192726
   98 , 61551.6   ,       1.0244  ,       0.8406  ,       0.93219 ,             0.76674 ,          0.6679  ,         0.74525 ,            0.47363 ,     1.22668 ,     1.08611 ,     0.95752 ,0.000189255 ,0.000189255 ,0.000189255
   99 , 62590.9   ,       1.02877 ,       0.84624 ,       0.92203 ,             0.7589  ,          0.69587 ,         0.75043 ,            0.48891 ,     1.18336 ,     1.05841 ,     0.94392 ,0.000185783 ,0.000185783 ,0.000185783
  100 , 63487.8   ,       1.02814 ,       0.83764 ,       0.92452 ,             0.76335 ,          0.71485 ,         0.75598 ,            0.49615 ,     1.15918 ,     1.02742 ,     0.94895 ,0.000182312 ,0.000182312 ,0.000182312
  101 , 64272.5   ,       1.01942 ,       0.84115 ,       0.9213  ,             0.76093 ,          0.69666 ,         0.75455 ,            0.49518 ,     1.15953 ,     1.0299  ,     0.94426 ,0.00017884  ,0.00017884  ,0.00017884
  102 , 65086     ,       1.02393 ,       0.83227 ,       0.92466 ,             0.69211 ,          0.70993 ,         0.74459 ,            0.48844 ,     1.18617 ,     1.0511  ,     0.95258 ,0.000175368 ,0.000175368 ,0.000175368
  103 , 65833.3   ,       1.02739 ,       0.83531 ,       0.92284 ,             0.77141 ,          0.65343 ,         0.74325 ,            0.47104 ,     1.20626 ,     1.07888 ,     0.94963 ,0.000171897 ,0.000171897 ,0.000171897
  104 , 66630     ,       1.04097 ,       0.84323 ,       0.92338 ,             0.70369 ,          0.7028  ,         0.74131 ,            0.47622 ,     1.19151 ,     1.07185 ,     0.95586 ,0.000168425 ,0.000168425 ,0.000168425
  105 , 67335     ,       1.00584 ,       0.8222  ,       0.91967 ,             0.74692 ,          0.69971 ,         0.7531  ,            0.49509 ,     1.15906 ,     1.02521 ,     0.94214 ,0.000164954 ,0.000164954 ,0.000164954
  106 , 68080.3   ,       1.00143 ,       0.81649 ,       0.92057 ,             0.76327 ,          0.66648 ,         0.7381  ,            0.48491 ,     1.18216 ,     1.07071 ,     0.94615 ,0.000161482 ,0.000161482 ,0.000161482
  107 , 68630     ,       1.02246 ,       0.82528 ,       0.92436 ,             0.73588 ,          0.69171 ,         0.73986 ,            0.48512 ,     1.1645  ,     1.04573 ,     0.94138 ,0.00015801  ,0.00015801  ,0.00015801
  108 , 69369     ,       1.02574 ,       0.81935 ,       0.9221  ,             0.77202 ,          0.68394 ,         0.74989 ,            0.49407 ,     1.17433 ,     1.03185 ,     0.95004 ,0.000154539 ,0.000154539 ,0.000154539
  109 , 70209     ,       1.01107 ,       0.80918 ,       0.92064 ,             0.7583  ,          0.69086 ,         0.75356 ,            0.49679 ,     1.16139 ,     1.03425 ,     0.94444 ,0.000151067 ,0.000151067 ,0.000151067
  110 , 71011.5   ,       1.00991 ,       0.79759 ,       0.921   ,             0.74318 ,          0.6627  ,         0.74463 ,            0.49074 ,     1.17596 ,     1.04317 ,     0.94357 ,0.000147596 ,0.000147596 ,0.000147596
  111 , 76090.5   ,       0.99492 ,       0.79882 ,       0.91321 ,             0.75877 ,          0.66353 ,         0.74391 ,            0.48881 ,     1.16628 ,     1.04786 ,     0.95021 ,0.000144124 ,0.000144124 ,0.000144124
  112 , 76759.3   ,       1.01787 ,       0.81646 ,       0.92085 ,             0.76184 ,          0.68922 ,         0.75481 ,            0.49296 ,     1.16039 ,     1.02232 ,     0.94162 ,0.000140652 ,0.000140652 ,0.000140652
  113 , 77705.7   ,       1.00496 ,       0.80147 ,       0.92613 ,             0.70991 ,          0.4076  ,         0.44721 ,            0.3055  ,     1.19537 ,     1.04997 ,     0.94807 ,0.000137181 ,0.000137181 ,0.000137181
  114 , 79455.3   ,       0.99148 ,       0.78798 ,       0.91661 ,             0.7673  ,          0.69229 ,         0.75737 ,            0.49382 ,     1.17226 ,     1.02867 ,     0.94602 ,0.000133709 ,0.000133709 ,0.000133709
